State_Name,Crop_Year,Crop_Name,Season,Area,Production,Rainfall,Minimum Selling Price,Yield
Himachal Pradesh,2011,RICE,Kharif,77064,128917,796.6,1080,1.672856327
Jammu and Kashmir,2011,RICE,Kharif,250811.845,473209.0582,357.3,1080,1.65141022
Jharkhand,2011,RICE,Kharif,1299944,2199911,1258.7,1080,1.69231213
Karnataka,2011,RICE,Kharif,1486478,3877404.71,473.1,1080,2.608450788
Kerala,2011,RICE,Kharif,234013,598339,2209.1,1080,2.556862226
Madhya Pradesh,2011,RICE,Kharif,1593071,1355660,1259.4,1080,0.8509727438
Maharashtra,2011,RICE,Kharif,1486200,2624900,381.71,1080,1.76618221
Manipur,2011,RICE,Kharif,162842,385041,1313.4,1080,2.3645067
Meghalaya,2011,RICE,Kharif,108045,203862,1236,1080,1.886824934
Mizoram,2011,RICE,Kharif,51990,68917,1313.4,1080,1.325581843
Nagaland,2011,RICE,Kharif,181580,382380,1313.4,1080,2.105848662
Odisha,2011,RICE,Kharif,4365000,6913000,1167,1080,1.58373425
Puducherry,2011,RICE,Kharif,20926,52330,130.5,1080,2.500716812
Punjab,2011,RICE,Kharif,2735000,11000000,617.5,1080,4.021937843
Rajasthan,2011,RICE,Kharif,133418,241083,784.9,1080,1.806975071
Sikkim,2011,RICE,Kharif,13000,22230,1858.6,1080,1.71
Tamil Nadu,2011,RICE,Kharif,1931603,5183385,306.4,1080,2.683462906
Uttar Pradesh,2011,RICE,Kharif,6033382,13079031,725.9,1080,2.167777707
Uttarakhand,2011,RICE,Kharif,274999,565863,1328.5,1080,2.057691119
West Bengal,2011,RICE,Kharif,5433700,14605766,1393.6,1080,2.687996393
Andaman and Nicobar Islands,2012,RICE,Kharif,9611.719477,28441.43714,2014,1250,2.959037372
Andhra Pradesh,2012,RICE,Kharif,2325729,7569071,857,1250,3.254493967
Arunachal Pradesh,2012,RICE,Kharif,126085,174662,2325.6,1250,1.38527184
Assam,2012,RICE,Kharif,2497596,4408424,1874.8,1250,1.765066888
Bihar,2012,RICE,Kharif,3350936,8237971,924.4,1250,2.458408934
Chandigarh,2012,RICE,Kharif,66.66666667,300.25,360.7,1250,4.50375
Chhattisgarh,2012,RICE,Kharif,3982172,7848401,1265.4,1250,1.970884482
Dadra and Nagar Haveli,2012,RICE,Kharif,10220,19653,815.9,1250,1.922994129
Goa,2012,RICE,Kharif,18045,47789,2839.3,1250,2.648323635
Gujarat,2012,RICE,Kharif,808100,1668500,706.7,1250,2.064719713
Haryana,2012,RICE,Kharif,1206435,3628000,360.7,1250,3.007207185
Himachal Pradesh,2012,RICE,Kharif,80055,118301,686.3,1250,1.477742571
Jammu and Kashmir,2012,RICE,Kharif,251563.05,479638.7535,523,1250,1.65141022
Jharkhand,2012,RICE,Kharif,1288742.197,2171586.418,908.3,1250,1.68504331
Karnataka,2012,RICE,Kharif,1539066,4473972,359.3,1250,2.906939663
Kerala,2012,RICE,Kharif,213186.5,522348.71,1535.6,1250,2.450196002
Madhya Pradesh,2012,RICE,Kharif,1573535,1766596,990.9,1250,1.122692536
Maharashtra,2012,RICE,Kharif,1544200,2848900,459.2,1250,1.84490351
Manipur,2012,RICE,Kharif,162842,385041,1267.6,1250,2.3645067
Meghalaya,2012,RICE,Kharif,108162,204129,1874.8,1250,1.887252455
Mizoram,2012,RICE,Kharif,47204,66131,1267.6,1250,1.400961783
Nagaland,2012,RICE,Kharif,183330,405180,1267.6,1250,2.210112911
Odisha,2012,RICE,Kharif,4226000,6822400,1153.3,1250,1.614387127
Puducherry,2012,RICE,Kharif,20014,51960,160.5,1250,2.596182672
Punjab,2012,RICE,Kharif,2802000,11236000,379.6,1250,4.009992862
Rajasthan,2012,RICE,Kharif,150694,222824,678,1250,1.478652103
Sikkim,2012,RICE,Kharif,12270,20930,2056,1250,1.705786471
Tamil Nadu,2012,RICE,Kharif,1845553,5665258,259.5,1250,3.06968047
Uttar Pradesh,2012,RICE,Kharif,5172741,10776504,366,1250,2.083325649
Uttarakhand,2012,RICE,Kharif,269237,606891,1073.1,1250,2.254114405
West Bengal,2012,RICE,Kharif,5444318,14949665,969.9,1250,2.745920609
Andaman and Nicobar Islands,2013,RICE,Kharif,9736.899464,28441.43714,2152.1,1310,2.920995256
Andhra Pradesh,2013,RICE,Kharif,2772377,7883078,1059.2,1310,2.843436517
Arunachal Pradesh,2013,RICE,Kharif,131989,184104,1165.9,1310,1.39484351
Assam,2013,RICE,Kharif,2537455,5032529,1172.9,1310,1.983297832
Bihar,2013,RICE,Kharif,3298887,8322010,722.2,1310,2.522672041
Chandigarh,2013,RICE,Kharif,66.66666667,300.25,363.3,1310,4.50375
Chhattisgarh,2013,RICE,Kharif,3987721,7102729,1159.9,1310,1.781149935
Dadra and Nagar Haveli,2013,RICE,Kharif,10316,18156,750.4,1310,1.75998449
Goa,2013,RICE,Kharif,14740,44206,3345.2,1310,2.999050204
Gujarat,2013,RICE,Kharif,835500,1789700,1059.6,1310,2.142070616
Haryana,2013,RICE,Kharif,1243281,3465000,363.3,1310,2.786980578
Himachal Pradesh,2013,RICE,Kharif,81432,123454,748.2,1310,1.477742571
Jammu and Kashmir,2013,RICE,Kharif,251755.6111,486009.9483,465.8,1310,1.65141022
Jharkhand,2013,RICE,Kharif,1288742.197,2171586.418,844.5,1310,1.68504331
Karnataka,2013,RICE,Kharif,1416135,4181619,534.9,1310,2.952839242
Kerala,2013,RICE,Kharif,208159.74,564833.48,2561.2,1310,2.713461691
Madhya Pradesh,2013,RICE,Kharif,1693231,2273045,1326.9,1310,1.342430537
Maharashtra,2013,RICE,Kharif,1559000,3078040,543.2,1310,1.974368185
Manipur,2013,RICE,Kharif,162112.5,381886.25,995.2,1310,2.355686637
Meghalaya,2013,RICE,Kharif,108285,207021,1172.9,1310,1.911816041
Mizoram,2013,RICE,Kharif,56179.38462,87584.84615,995.2,1310,1.559021103
Nagaland,2013,RICE,Kharif,189480,429640,995.2,1310,2.267468862
Odisha,2013,RICE,Kharif,4005000,5806000,1115.6,1310,1.44968789
Puducherry,2013,RICE,Kharif,16576,42114,145.8,1310,2.540661197
Punjab,2013,RICE,Kharif,2831000,10837000,479.7,1310,3.82797598
Rajasthan,2013,RICE,Kharif,131126,265544,776.1,1310,2.025105624
Sikkim,2013,RICE,Kharif,12140,20973,1717.6,1310,1.727594728
Tamil Nadu,2013,RICE,Kharif,1905726,5792415,321.5,1310,3.039479442
Uttar Pradesh,2013,RICE,Kharif,5657070,11992299,763.8,1310,2.119878135
Uttarakhand,2013,RICE,Kharif,259379,593068,1373,1310,2.286491967
West Bengal,2013,RICE,Kharif,5513687,15376869,1152,1310,2.788854173
Andaman and Nicobar Islands,2014,RICE,Kharif,9879.912031,27932.32546,1618.7,1360,2.82718362
Andhra Pradesh,2014,RICE,Kharif,2346300,7744175,560.2,1360,3.300590291
Arunachal Pradesh,2014,RICE,Kharif,127200,189992,1750.8,1360,1.493647799
Assam,2014,RICE,Kharif,2503201,5193379,1705.5,1360,2.07469516
Bihar,2014,RICE,Kharif,3150814,6649589,848.6,1360,2.110435272
Chandigarh,2014,RICE,Kharif,66.66666667,300.25,200.2,1360,4.50375
Chhattisgarh,2014,RICE,Kharif,4035700,7977746,1102.1,1360,1.976793617
Dadra and Nagar Haveli,2014,RICE,Kharif,13490,26036,956.4,1360,1.930022239
Goa,2014,RICE,Kharif,14385,40929,2608.8,1360,2.845255474
Gujarat,2014,RICE,Kharif,701100,1479300,692.8,1360,2.109970047
Haryana,2014,RICE,Kharif,1234094,3574000,200.2,1360,2.896051678
Himachal Pradesh,2014,RICE,Kharif,80456,118414,486.6,1360,1.477742571
Jammu and Kashmir,2014,RICE,Kharif,275861,344823,623.2,1360,1.249988219
Jharkhand,2014,RICE,Kharif,1322651,2415346.04,930.1,1360,1.826140108
Karnataka,2014,RICE,Kharif,1278915,3364379,482.5,1360,2.630650981
Kerala,2014,RICE,Kharif,197277,508299,2164.8,1360,2.57657507
Madhya Pradesh,2014,RICE,Kharif,1791157,3106146,746.6,1360,1.734156191
Maharashtra,2014,RICE,Kharif,1604900,3108290,678.9,1360,1.936749953
Manipur,2014,RICE,Kharif,161922.5,381886.25,1237.2,1360,2.358450802
Meghalaya,2014,RICE,Kharif,188755,222731,1705.5,1360,1.18000053
Mizoram,2014,RICE,Kharif,55261.33728,85816.52663,1237.2,1360,1.552921642
Nagaland,2014,RICE,Kharif,195240,454190,1237.2,1360,2.326316329
Odisha,2014,RICE,Kharif,4237800,9496000,1255.7,1360,2.240785313
Puducherry,2014,RICE,Kharif,16281,46518,147.2,1360,2.857195504
Punjab,2014,RICE,Kharif,2818000,10542000,244.6,1360,3.740951029
Rajasthan,2014,RICE,Kharif,134418.6429,191412,618.4,1360,1.423998903
Sikkim,2014,RICE,Kharif,12070,20880,1862.6,1360,1.729908865
Tamil Nadu,2014,RICE,Kharif,1903772,7458657,315.1,1360,3.917831022
Uttar Pradesh,2014,RICE,Kharif,5946285,14022392,339.4,1360,2.358176912
Uttarakhand,2014,RICE,Kharif,520184,1201720,897.7,1360,2.310182551
West Bengal,2014,RICE,Kharif,5526511,15927196,1014.4,1360,2.881962236
Andaman and Nicobar Islands,2015,RICE,Kharif,8665.61625,27875.7575,1678.6,1410,3.216823443
Andhra Pradesh,2015,RICE,Kharif,2209237,6862854,690.1,1410,3.106436295
Arunachal Pradesh,2015,RICE,Kharif,124507.9091,159695.3273,1936.9,1410,1.282611911
Assam,2015,RICE,Kharif,2495297,5222645,1729.3,1410,2.092995343
Bihar,2015,RICE,Kharif,3263374,8241624,742.3,1410,2.525491715
Chandigarh,2015,RICE,Kharif,66.66666667,300.25,295.2,1410,4.50375
Chhattisgarh,2015,RICE,Kharif,3889501.867,5433239.067,1009.7,1410,1.396898434
Dadra and Nagar Haveli,2015,RICE,Kharif,325,631,1005.8,1410,1.941538462
Goa,2015,RICE,Kharif,23191.36364,60572.27273,1908.7,1410,2.611846103
Gujarat,2015,RICE,Kharif,679413.3333,1180262,606.1,1410,1.737178154
Haryana,2015,RICE,Kharif,1206255,3941000,295.2,1410,3.267136717
Himachal Pradesh,2015,RICE,Kharif,86512,118394,607.2,1410,1.478906642
Jammu and Kashmir,2015,RICE,Kharif,254604.6074,429305.2589,614,1410,1.686164533
Jharkhand,2015,RICE,Kharif,1291002.784,2187837.06,938.8,1410,1.694680357
Karnataka,2015,RICE,Kharif,1326535,4027747,357.2,1410,3.036291541
Kerala,2015,RICE,Kharif,199611,564329,1514.7,1410,2.827143795
Madhya Pradesh,2015,RICE,Kharif,1881546,3321724,745.1,1410,1.76542269
Maharashtra,2015,RICE,Kharif,1551200,2946600,443.7,1410,1.89956163
Manipur,2015,RICE,Kharif,163060,387905,1287.7,1410,2.378909604
Meghalaya,2015,RICE,Kharif,109791,265653,1729.3,1410,2.419624559
Mizoram,2015,RICE,Kharif,54251.2863,83893.72098,1287.7,1410,1.546391371
Nagaland,2015,RICE,Kharif,168603.3333,310302.6667,1287.7,1410,1.840430201
Odisha,2015,RICE,Kharif,4180000,7610000,1034.5,1410,1.820574163
Puducherry,2015,RICE,Kharif,15822,49791,129.5,1410,3.146947289
Punjab,2015,RICE,Kharif,2849000,11390000,336.3,1410,3.997893998
Rajasthan,2015,RICE,Kharif,134418.6429,191412,557,1410,1.423998903
Sikkim,2015,RICE,Kharif,12144,21340,1883,1410,1.757246377
Tamil Nadu,2015,RICE,Kharif,1493276,4050334,285.9,1410,2.712381368
Uttar Pradesh,2015,RICE,Kharif,5861282,14415939,436.1,1410,2.459519777
Uttarakhand,2015,RICE,Kharif,292147.8667,611450.5333,881.5,1410,2.092948822
West Bengal,2015,RICE,Kharif,5711237.071,14357221.6,1304.9,1410,2.513854953
